date,home_team,away_team,competition,neutral,home_confederation,away_confederation,home_fifa_rank,away_fifa_rank,tournament_stage,home_form_last5,away_form_last5,home_goals_for_last5,away_goals_for_last5,home_goals_against_last5,away_goals_against_last5,home_rest_days,away_rest_days,home_elo_pre,away_elo_pre,elo_diff_home_away,elo_win_prob,form_diff_home_away,goal_balance_diff,rank_diff,competition_weight,is_same_confederation,home_score,away_score,target,match_weight
2010-01-16,Egypt,Mozambique,African Cup of Nations,1,CAF,CAF,42,84,Unknown,3.0,0.5,2.0,1.0,0.5,2.0,4,4,1548.569697877255,1472.5418990481078,76.02779882914729,0.6076992143900084,2.5,2.5,-42,2,1,2,0,H,0.003627
2010-01-16,Nigeria,Benin,African Cup of Nations,1,CAF,CAF,35,78,Unknown,0.0,2.0,1.0,1.5,3.0,1.0,4,4,1471.7527857515577,1511.855500959777,-40.10271520821925,0.44254249423792474,-2.0,-2.5,-43,2,1,1,0,H,0.003627
2010-01-17,Cameroon,Zambia,African Cup of Nations,1,CAF,CAF,47,87,Unknown,1.5,2.0,1.5,2.5,1.0,1.5,4,4,1517.9202269422856,1526.8263056709673,-8.906078728681678,0.48718592896692864,-0.5,-0.5,-40,2,1,3,2,H,0.003631
2010-01-17,Gabon,Tunisia,African Cup of Nations,1,CAF,CAF,75,48,Unknown,3.0,0.5,1.5,1.0,0.0,1.5,4,4,1550.4836730458876,1477.5710943369174,72.91257870897016,0.6034158974922698,2.5,2.0,27,2,1,0,0,D,0.003631
2010-01-17,Thailand,Singapore,King's Cup,0,AFC,AFC,96,75,Unknown,1.0,0.0,0.0,1.0,0.0,3.0,11,11,1494.3974000078847,1463.2117907908114,31.185609217073306,0.680303099080202,1.0,2.0,21,2,1,1,0,H,0.003631
2010-01-17,Vietnam,China PR,AFC Asian Cup Qualification,0,AFC,UNKNOWN,97,75,Unknown,1.0,1.0,1.0,0.0,1.0,0.0,11,11,1505.6025999921153,1496.7199261228543,8.882673869260998,0.6517587642857162,0.0,0.0,22,2,0,1,2,A,0.003631
2010-01-18,Angola,Algeria,African Cup of Nations,0,CAF,CAF,75,44,Unknown,1.6666666666666667,1.5,2.3333333333333335,0.5,1.6666666666666667,1.5,4,4,1518.6114781125807,1486.5313218976669,32.08015621491381,0.6814220105864298,0.16666666666666674,1.6666666666666667,31,2,1,0,0,D,0.003634
2010-01-18,Finland,Korea Republic,International Friendly,1,UEFA,AFC,65,26,Unknown,1.5,0.0,1.0,2.0,1.0,4.0,7,9,1500.0,1470.0,30.0,0.5430664920222119,1.5,2.0,39,1,0,0,2,A,0.003634
2010-01-18,Mali,Malawi,African Cup of Nations,1,CAF,CAF,56,93,Unknown,0.5,1.3333333333333333,1.0,1.0,1.5,0.6666666666666666,4,4,1470.1226308681498,1510.0146854849052,-39.89205461675533,0.44284167657547646,-0.8333333333333333,-0.8333333333333334,-37,2,1,3,1,H,0.003634
2010-01-19,Burkina Faso,Ghana,African Cup of Nations,1,CAF,CAF,58,43,Unknown,1.0,0.5,0.0,0.5,0.0,1.5,8,4,1503.0497411250208,1474.3170609150966,28.732680209924183,0.5412556420515329,0.5,1.0,15,2,1,0,1,A,0.003638
2010-01-20,Chile,Panama,International Friendly,0,CONMEBOL,CONCACAF,40,46,Unknown,1.5,1.5,1.0,1.0,1.0,1.0,7,7,1500.0,1500.0,0.0,0.6400649998028851,0.0,0.0,-6,1,0,2,1,H,0.003641
2010-01-20,Egypt,Benin,African Cup of Nations,1,CAF,CAF,42,78,Unknown,3.0,1.3333333333333333,2.0,1.0,0.3333333333333333,1.0,4,4,1572.1077450138546,1489.557200729294,82.5505442845606,0.6166135806065086,1.6666666666666667,1.6666666666666667,-36,2,1,2,0,H,0.003641
2010-01-20,Nigeria,Mozambique,African Cup of Nations,1,CAF,CAF,35,84,Unknown,1.5,0.3333333333333333,1.0,0.6666666666666666,1.5,2.0,4,4,1494.0510859820406,1449.0038519115083,45.04723407053234,0.5644673366719797,1.1666666666666667,0.8333333333333335,-49,2,1,3,0,H,0.003641
2010-01-20,Oman,Sweden,International Friendly,0,AFC,UEFA,77,53,Unknown,3.0,1.5,2.0,1.0,1.0,1.0,14,7,1525.6025999921153,1500.0,25.6025999921153,0.6732731654280061,1.5,1.0,24,1,0,0,1,A,0.003641
2010-01-20,Thailand,Poland,King's Cup,0,AFC,UEFA,96,24,Unknown,2.0,1.5,0.5,1.0,0.0,1.0,3,7,1507.1852760446766,1500.0,7.185276044676584,0.6495377701145509,0.5,0.5,72,2,0,1,3,A,0.003641
2010-01-20,Yemen,Bahrain,AFC Asian Cup Qualification,0,AFC,AFC,75,75,Unknown,1.0,3.0,1.6666666666666667,4.0,1.6666666666666667,0.0,5,14,1472.6916967613836,1526.9951250147835,-54.30342825339994,0.5653860514480774,-2.0,-4.0,0,2,1,3,0,H,0.003641
2010-01-21,Cameroon,Tunisia,African Cup of Nations,1,CAF,CAF,47,48,Unknown,2.0,0.6666666666666666,2.0,0.6666666666666666,1.3333333333333333,1.0,4,4,1538.4327897836085,1481.7077302366083,56.72505954700023,0.5809162191926093,1.3333333333333335,1.0,-1,2,1,2,2,D,0.003645
